key,en,jp
StartButton,Start Game,はじめる
ExitButton,Exit,でる
CreditButton,Credit,クレジット
TryButton,Try Again,リトライ
Language,Language,言語
LabelSound,Volume,音の大きさ
EN,EN,英語
JP,JP,日本語
Weapon,"The murder weapon: An ancient artifact (a ceremonial dagger) from Dr. Hootie's collection, found wiped clean of fingerprints.",凶器：ドクター・フーティのコレクションの古代遺物，指紋は拭きとられている。
Window,A shattered window suggesting a possible break-in.,窓が割れている。誰か入って来たらしい。
Diary,The Diary: The missing pages from the diary reveal Dr. Hootie was about to expose a significant fraud involving her husband and Maxie Badger.,日記：どうやらドクター・フーティが夫とマクシー・パジャーに関わる詐欺を暴露しようとしたらしい。
PhoneRecord,"Phone Records: Reveal multiple calls between Dr. Hootie and an unknown number, traced back to a burner phone found in Maxie's possession.",不明な番号との通話が記録されている。不明の番号はマクシーの使い捨ての携帯電話のようだ。
Footprint,Muddy footprints near the shattered window match Maxie Badger's footprint.,窓の近くの足跡は、マクシー・パジャーのものと一致している。
Letter,"A threatening letter addressed to Dr. Hootie found in the room's fireplace, partially burned.",ドクター・フーティ宛の脅迫状が、暖炉に入れられたが、燃え残っている。
BankRecord,Bank Records: Indicate Hawkin Owl withdrew a large sum of money shortly before Dr. Hootie's death.,銀行の取引記録：ドクター・フーティの死の直前に、ホーキン・オウルが多額の現金を引き出していたらしい。
Camera,"Security Camera Footage: Shows Bunny Alice entering the house late at night, after her claimed visit time.",監視カメラの映像:：バニー・アリスは主張した訪問時間より遅く、深夜に家に入る様子が映っている。
Clues,Clues,手がかり
Investigate,Investigate,調べる
Enter,Enter,入り口
PlayAgain,Play Again,もう一度遊ぶ
LockPoliceStation,There are clues left. Go back and investigate more!,まだ手がかりがあるよ。戻って調べてみよう！
Talk,Talk,話す
Interrogate,Interrogate,質問する
Rabbit1,Whisker : Can you tell me where you were last night between 8 PM and midnight?,ウィスカー :昨夜の午後8時から深夜の12時までどこに居たか教えてくれる？
Rabbit2,"Alice Rabbit : I was at home most of the night. I did visit Hootie earlier in the evening, around 7 PM. I left around 8 PM.",アリスうさぎ : ほとんどの夜は家にいました。夕方7時ごろにフーティを訪ねましたが、8時ごろに帰りました。
Rabbit3,Whisker : Security footage shows you returning to Dr. Hootie’s house later that night. Can you explain that?,ウィスカー : 監視カメラ映像に、夜遅くにドクター・フーティが再び家に戻る様子が写っています。それについて説明できますか？
